"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "XML", "CSS", "Astro", "TypeScript", "comment", "blank", "total"
"c:\portfolio-astro\README.md", "Markdown", 0, 0, 0, 39, 0, 0, 0, 0, 0, 17, 56
"c:\portfolio-astro\astro.config.mjs", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\portfolio-astro\package.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\portfolio-astro\public\building1.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\portfolio-astro\public\building2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\portfolio-astro\public\building3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\portfolio-astro\public\building4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\portfolio-astro\public\favicon.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\portfolio-astro\public\global.css", "CSS", 0, 0, 0, 0, 0, 244, 0, 0, 0, 51, 295
"c:\portfolio-astro\public\reset.css", "CSS", 0, 0, 0, 0, 0, 123, 0, 0, 0, 1, 124
"c:\portfolio-astro\src\components\About.astro", "Astro", 0, 0, 0, 0, 0, 0, 74, 0, 0, 7, 81
"c:\portfolio-astro\src\components\Contact.astro", "Astro", 0, 0, 0, 0, 0, 0, 156, 0, 0, 18, 174
"c:\portfolio-astro\src\components\Experience.astro", "Astro", 0, 0, 0, 0, 0, 0, 60, 0, 0, 2, 62
"c:\portfolio-astro\src\components\Footer.astro", "Astro", 0, 0, 0, 0, 0, 0, 92, 0, 0, 1, 93
"c:\portfolio-astro\src\components\Header.astro", "Astro", 0, 0, 0, 0, 0, 0, 253, 0, 0, 16, 269
"c:\portfolio-astro\src\components\Hero.astro", "Astro", 0, 0, 0, 0, 0, 0, 250, 0, 0, 29, 279
"c:\portfolio-astro\src\components\Projects.astro", "Astro", 0, 0, 0, 0, 0, 0, 414, 0, 0, 15, 429
"c:\portfolio-astro\src\components\ThemeSwitch.astro", "Astro", 0, 0, 0, 0, 0, 0, 112, 0, 0, 17, 129
"c:\portfolio-astro\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\portfolio-astro\src\layouts\Layout.astro", "Astro", 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"c:\portfolio-astro\src\pages\index.astro", "Astro", 0, 0, 0, 0, 0, 0, 125, 0, 0, 8, 133
"c:\portfolio-astro\tsconfig.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 3, 2, 16, 39, 16, 367, 1574, 0, 2, 191, 2210
